Month,InTransit,Export,Import,Transit
2008-01,2708771,2741803,44149,27338
2008-02,2920482,2835262,50817,21573
2008-03,3071793,3269750,61096,30951
2008-04,2958194,2866872,61395,67996
2008-05,2493859,2452240,55466,89471
2008-06,2240598,2215570,45732,112197
2008-07,2314100,2137178,48526,119498
2008-08,2201346,2095022,47998,139787
2008-09,2092005,2042434,48596,131606
2008-10,1964861,2188444,51867,125938
2008-11,1579956,2075406,57492,131519
2008-12,1694047,1718443,49290,111695
2009-01,1585617,1018906,21050,43256
2009-02,1623911,1486894,23123,39875
2009-03,1803697,2363698,14855,31541
2009-04,1880695,2399224,10941,30816
2009-05,1725181,1883950,11050,32539
2009-06,1565312,1811841,15630,33458
2009-07,1622287,1849047,25553,49645
2009-08,1645277,1882842,31318,46574
2009-09,1505730,1743495,25770,37324
2009-10,1546771,1760121,22400,42724
2009-11,1454007,1764687,19747,43726
2009-12,1626173,1930717,20334,39586
2010-01,1607050,1527296,13055,28220
2010-02,1835041,1645183,16083,27841
2010-03,2085657,2135824,19435,33408
2010-04,2094440,2224367,20692,41110
2010-05,1730942,2136268,22060,51686
2010-06,1580859,2005529,19366,55058
2010-07,1595707,1893642,28302,64212
2010-08,1610748,1820499,32188,60434
2010-09,1509018,1799429,39466,61674
2010-10,1483519,1756042,41948,71589
2010-11,1397287,1869437,31322,60923
2010-12,1511691,1674598,30262,52407
2011-01,1647648,1893748,25548,45114
2011-02,1544967,1913409,34510,36394
2011-03,1739311,2244703,34561,31612
2011-04,1701182,2155813,36802,31244
2011-05,1562847,2095382,35573,35208
2011-06,1446544,1960440,38189,40512
2011-07,1528687,1969077,37674,39366
2011-08,1497092,2068332,52276,46953
2011-09,1366077,1868280,40786,44946
2011-10,1400620,1979755,44116,44383
2011-11,1302644,1915590,36138,42492
2011-12,1428359,1855096,42310,38959
2012-01,1455515,1654416,24718,50979
2012-02,1476279,1740469,35818,38459
2012-03,1676203,2002912,29621,40814
2012-04,1651786,1913037,36301,37529
2012-05,1436779,2016695,41668,46713
2012-06,1335456,1777854,37387,49408
2012-07,1346448,1821970,58015,50458
2012-08,1343576,1826549,63082,54406
2012-09,1258733,1622294,51913,53956
2012-10,1188599,1772515,54425,60391
2012-11,1029463,1714112,55506,53962
2012-12,1220390,1766831,44583,44754
2013-01,1267739,1583951,28670,35983
2013-02,1363583,1528430,37519,34749
2013-03,1416107,2022107,45147,45335
2013-04,1369241,2123428,50341,48168
2013-05,1154466,2040773,43776,49894
2013-06,1118494,1882220,56404,54167
2013-07,1198977,1998889,59195,56063
2013-08,1159813,1979576,52472,56409
2013-09,1170746,1901965,48042,62014
2013-10,1245235,1932014,44451,63855
2013-11,1053810,1877316,37501,54595
2013-12,1158312,1961443,29881,66921
2014-01,1220431,1917104,17974,44233
2014-02,1327474,1928899,21419,39767
2014-03,1578456,2441395,26346,38519
2014-04,1522310,2434363,28345,43695
2014-05,1260816,2140105,28664,36397
2014-06,1239065,2063942,30943,48840
2014-07,1297392,2144980,39881,50832
2014-08,1280096,2004383,33500,49598
2014-09,1257255,1992088,33755,59964
2014-10,1189200,2057504,32461,48093
2014-11,1087289,2009234,23419,46590
2014-12,1350039,2232804,18502,41448
2015-01,1298632,1930223,17289,18678
2015-02,1393363,1982123,20613,17434
2015-03,1667239,2385355,17153,24558
2015-04,1598229,2379986,11952,27396
2015-05,1284927,2234324,13208,32497
2015-06,1309538,2088594,19269,26565
2015-07,1380116,2118151,27402,33375
2015-08,1292292,2034992,26826,38580
2015-09,1222265,2075569,26468,27706
2015-10,1161333,2160733,13671,21969
2015-11,1079071,2109445,12453,18364
2015-12,1332131,2310884,9201,16667
2016-01,1253367,1966675,8501,7603
2016-02,1533881,2045529,13951,5952
2016-03,1654958,2528953,10682,11001
2016-04,1666991,2658780,15811,14230
2016-05,1456048,2704599,21831,18126
2016-06,1343951,2564560,19392,26728
2016-07,1378869,2464488,22594,27552
2016-08,1422578,2361294,18004,28992
2016-09,1330796,2106734,16928,33113
2016-10,1297445,2161316,8894,37793
2016-11,1272475,2180935,9786,31283
2016-12,1484597,2368440,8768,35268
2017-01,1407062,2228794,6868,28813
2017-02,1450479,2249242,9570,25772
2017-03,1711028,2664395,10915,36058
2017-04,1751964,2638238,12441,35320
2017-05,1622125,2822427,13142,40991
2017-06,1465118,2610937,16403,38632
2017-07,1471359,2510372,20946,43596
2017-08,1380837,2488566,25500,39202
2017-09,1330234,2362102,14575,34319
2017-10,1301584,2449998,12405,36707
2017-11,1074720,2253264,14271,36459
2017-12,1460911,2311128,23725,44911
2018-01,1595396,2412940,21039,35851
2018-02,1659584,2285234,22494,30588
2018-03,1879172,2720712,26419,33412
2018-04,1908593,2721980,16958,27239
2018-05,1689665,2836092,17507,29598
2018-06,1701721,2600127,22035,36889
2018-07,1726622,2701975,24243,33329
2018-08,1734108,2650527,24391,39588
2018-09,1631893,2417003,16775,37946
2018-10,1610167,2589939,14143,37269
2018-11,1556668,2525428,12884,33160
2018-12,1781924,2504821,15813,29347
